Polygon ID,Vertex X,Vertex Y
1,460613.2994671132,4669312.0735691665
2,518644.2137576634,4627068.2364340015
3,605632.8339752565,4609385.659068546
4,521690.1837842867,4659332.694022882
5,459893.6258623419,4673095.666442466
6,329807.96822512517,4583479.651422933
7,363203.4380507266,4594420.516931137
8,367900.9658412321,4539689.905203309
9,327517.9482184162,4581975.089896335
10,327517.9482184162,4581975.089896335
11,308507.7381600173,4575253.835046548
12,322165.0886835784,4530918.510703955
13,399802.03936363943,4426544.795343533
14,367900.9658412321,4539689.905203309
15,389973.8329633102,4849587.330957624
16,521690.1837842867,4659332.694022882
17,459893.6258623419,4673095.666442466
18,418300.76091380225,4740452.261283717
19,477513.0956246706,4620740.963741594
20,460746.8350165403,4641845.6985934395
21,462092.6309217603,4645717.44379283
22,503907.7453009445,4628358.033008688
23,503907.7453009445,4628358.033008688
24,518644.2137576634,4627068.2364340015
25,460613.2994671132,4669312.0735691665
26,462092.6309217603,4645717.44379283
27,477513.0956246706,4620740.963741594
28,462124.6204776175,4591389.215612663
29,440834.5299853915,4613427.480855172
30,460746.8350165403,4641845.6985934395
31,367196.7325226854,4599162.7388002835
32,363203.4380507266,4594420.516931137
33,367900.9658412321,4539689.905203309
34,399802.03936363943,4426544.795343533
35,510631.32596890803,4221030.591855353
36,421072.9710952061,4527654.598640288
37,373918.6561911772,4611373.489565177
38,330345.67849896,4658372.701581454
39,329807.96822512517,4583479.651422933
40,363203.4380507266,4594420.516931137
41,367196.7325226854,4599162.7388002835
42,378756.75243024895,4612111.017270753
43,407776.8056324024,4627323.436032089
44,429056.60586675425,4614853.604815812
45,413755.3344599543,4568316.310053839
46,407776.8056324024,4627323.436032089
47,418300.76091380225,4740452.261283717
48,459893.6258623419,4673095.666442466
49,460613.2994671132,4669312.0735691665
50,462092.6309217603,4645717.44379283
51,460746.8350165403,4641845.6985934395
52,440834.5299853915,4613427.480855172
53,429056.60586675425,4614853.604815812
54,378756.75243024895,4612111.017270753
55,373918.6561911772,4611373.489565177
56,367196.7325226854,4599162.7388002835
57,421072.9710952061,4527654.598640288
58,413755.3344599543,4568316.310053839
